"Index","Time","Delta","Appliance","State"
"7748","2014-08-24 12:54:48+00:00","-186","washing_machine","OFF"
"7749","2014-08-24 12:54:54+00:00","110","dishwasher","ON"
"7752","2014-08-24 12:55:12+00:00","-200","washing_machine","OFF"
"7753","2014-08-24 12:55:18+00:00","181","washing_machine","ON"
"7754","2014-08-24 12:55:24+00:00","-97","fridge","OFF"
"7755","2014-08-24 12:55:30+00:00","-124","dishwasher","OFF"
"7756","2014-08-24 12:55:36+00:00","287","washing_machine","ON"
"7758","2014-08-24 12:55:48+00:00","-114","dishwasher","OFF"
"7774","2014-08-24 12:57:24+00:00","287","washing_machine","ON"
"7775","2014-08-24 12:57:30+00:00","-263","washing_machine","OFF"
"7780","2014-08-24 12:58:00+00:00","320","washing_machine","ON"
"7781","2014-08-24 12:58:06+00:00","-123","dishwasher","OFF"
"7782","2014-08-24 12:58:12+00:00","99","fridge","ON"
"7783","2014-08-24 12:58:18+00:00","-374","washing_machine","OFF"
"7787","2014-08-24 12:58:42+00:00","-296","washing_machine","OFF"
"7788","2014-08-24 12:58:48+00:00","283","washing_machine","ON"
"7790","2014-08-24 12:59:00+00:00","-254","washing_machine","OFF"
"7791","2014-08-24 12:59:06+00:00","252","washing_machine","ON"
"7797","2014-08-24 12:59:42+00:00","-351","washing_machine","OFF"
"7798","2014-08-24 12:59:48+00:00","332","washing_machine","ON"
"7800","2014-08-24 13:00:00+00:00","-390","washing_machine","OFF"
"7821","2014-08-24 13:02:06+00:00","211","washing_machine","ON"
"7822","2014-08-24 13:02:12+00:00","-193","washing_machine","OFF"
"7823","2014-08-24 13:02:18+00:00","249","washing_machine","ON"
"7824","2014-08-24 13:02:24+00:00","-194","washing_machine","OFF"
"7831","2014-08-24 13:03:06+00:00","165","dishwasher","ON"
"7832","2014-08-24 13:03:12+00:00","-181","washing_machine","OFF"
"7838","2014-08-24 13:03:48+00:00","279","washing_machine","ON"
"7840","2014-08-24 13:04:00+00:00","-109","dishwasher","OFF"
"7848","2014-08-24 13:04:48+00:00","-164","dishwasher","OFF"
"7863","2014-08-24 13:06:18+00:00","280","washing_machine","ON"
"7864","2014-08-24 13:06:24+00:00","-284","washing_machine","OFF"
"7870","2014-08-24 13:07:00+00:00","135","dishwasher","ON"
"7871","2014-08-24 13:07:06+00:00","-146","dishwasher","OFF"
"7874","2014-08-24 13:07:24+00:00","273","washing_machine","ON"
"7877","2014-08-24 13:07:42+00:00","-284","washing_machine","OFF"
"7878","2014-08-24 13:07:48+00:00","226","washing_machine","ON"
"7880","2014-08-24 13:08:00+00:00","-158","dishwasher","OFF"
"7881","2014-08-24 13:08:06+00:00","368","washing_machine","ON"
"7882","2014-08-24 13:08:12+00:00","-165","dishwasher","OFF"
"7884","2014-08-24 13:08:24+00:00","-286","washing_machine","OFF"
"7885","2014-08-24 13:08:30+00:00","276","washing_machine","ON"
"7887","2014-08-24 13:08:42+00:00","-266","washing_machine","OFF"
"7888","2014-08-24 13:08:48+00:00","195","washing_machine","ON"
"7890","2014-08-24 13:09:00+00:00","-202","washing_machine","OFF"
"7891","2014-08-24 13:09:06+00:00","340","washing_machine","ON"
"7894","2014-08-24 13:09:24+00:00","-136","dishwasher","OFF"
"7895","2014-08-24 13:09:30+00:00","158","dishwasher","ON"
"7897","2014-08-24 13:09:42+00:00","-335","washing_machine","OFF"
"7898","2014-08-24 13:09:48+00:00","260","washing_machine","ON"
"7900","2014-08-24 13:10:00+00:00","-284","washing_machine","OFF"
"7901","2014-08-24 13:10:06+00:00","261","washing_machine","ON"
"7903","2014-08-24 13:10:18+00:00","-233","washing_machine","OFF"
"7912","2014-08-24 13:11:12+00:00","172","dishwasher","ON"
"7913","2014-08-24 13:11:18+00:00","-182","washing_machine","OFF"
"7919","2014-08-24 13:11:54+00:00","173","dishwasher","ON"
"7920","2014-08-24 13:12:00+00:00","-184","washing_machine","OFF"
"7925","2014-08-24 13:12:30+00:00","168","dishwasher","ON"
"7926","2014-08-24 13:12:36+00:00","-186","washing_machine","OFF"
"7949","2014-08-24 13:14:54+00:00","167","dishwasher","ON"
"7950","2014-08-24 13:15:00+00:00","-132","dishwasher","OFF"
"7954","2014-08-24 13:15:24+00:00","-175","dishwasher","OFF"
"8015","2014-08-24 13:21:30+00:00","190","washing_machine","ON"
"8073","2014-08-24 13:27:18+00:00","-169","dishwasher","OFF"
"8156","2014-08-24 13:35:36+00:00","1573","microwave","ON"
"8192","2014-08-24 13:39:12+00:00","-92","fridge","OFF"
"8226","2014-08-24 13:42:36+00:00","-1473","microwave","OFF"
"8250","2014-08-24 13:45:00+00:00","104","fridge","ON"
"8251","2014-08-24 13:45:06+00:00","-114","dishwasher","OFF"
"8267","2014-08-24 13:46:42+00:00","173","dishwasher","ON"
"8268","2014-08-24 13:46:48+00:00","-135","dishwasher","OFF"
"8280","2014-08-24 13:48:00+00:00","90","fridge","ON"
"8282","2014-08-24 13:48:12+00:00","-176","dishwasher","OFF"
"8283","2014-08-24 13:48:18+00:00","149","dishwasher","ON"
"8307","2014-08-24 13:50:42+00:00","-132","dishwasher","OFF"
"8340","2014-08-24 13:54:00+00:00","1558","microwave","ON"
"8352","2014-08-24 13:55:12+00:00","102","fridge","ON"
"8353","2014-08-24 13:55:18+00:00","-115","dishwasher","OFF"
"8357","2014-08-24 13:55:42+00:00","94","fridge","ON"
"8393","2014-08-24 13:59:18+00:00","-1461","microwave","OFF"
"8406","2014-08-24 14:00:36+00:00","1150","microwave","ON"
"8421","2014-08-24 14:02:06+00:00","-1426","microwave","OFF"
"8427","2014-08-24 14:02:42+00:00","114","dishwasher","ON"
"8428","2014-08-24 14:02:48+00:00","-111","dishwasher","OFF"
"8431","2014-08-24 14:03:06+00:00","1505","microwave","ON"
"8433","2014-08-24 14:03:18+00:00","102","fridge","ON"
"8438","2014-08-24 14:03:48+00:00","95","fridge","ON"
"8445","2014-08-24 14:04:30+00:00","-1473","microwave","OFF"
"8455","2014-08-24 14:05:30+00:00","1465","microwave","ON"
"8469","2014-08-24 14:06:54+00:00","-1467","microwave","OFF"
"8473","2014-08-24 14:07:18+00:00","197","washing_machine","ON"
"8483","2014-08-24 14:08:18+00:00","1536","microwave","ON"
"8493","2014-08-24 14:09:18+00:00","-1516","microwave","OFF"
"8505","2014-08-24 14:10:30+00:00","1569","microwave","ON"
"8511","2014-08-24 14:11:06+00:00","95","fridge","ON"
"8512","2014-08-24 14:11:12+00:00","-109","dishwasher","OFF"
"8518","2014-08-24 14:11:48+00:00","-1533","microwave","OFF"
"8531","2014-08-24 14:13:06+00:00","1628","microwave","ON"
"8542","2014-08-24 14:14:12+00:00","-1546","microwave","OFF"
"8543","2014-08-24 14:14:18+00:00","-202","washing_machine","OFF"
"8557","2014-08-24 14:15:42+00:00","1511","microwave","ON"
"8568","2014-08-24 14:16:48+00:00","-1525","microwave","OFF"
"8574","2014-08-24 14:17:24+00:00","162","dishwasher","ON"
"8575","2014-08-24 14:17:30+00:00","-171","dishwasher","OFF"
"8580","2014-08-24 14:18:00+00:00","1551","microwave","ON"
"8592","2014-08-24 14:19:12+00:00","-1487","microwave","OFF"
"8605","2014-08-24 14:20:30+00:00","305","washing_machine","ON"
"8606","2014-08-24 14:20:36+00:00","1209","microwave","ON"
"8617","2014-08-24 14:21:42+00:00","-1488","microwave","OFF"
"8630","2014-08-24 14:23:00+00:00","1496","microwave","ON"
"8642","2014-08-24 14:24:12+00:00","-1431","microwave","OFF"
"8656","2014-08-24 14:25:36+00:00","1500","microwave","ON"
"8660","2014-08-24 14:26:00+00:00","111","dishwasher","ON"
"8661","2014-08-24 14:26:06+00:00","-103","fridge","OFF"
"8667","2014-08-24 14:26:42+00:00","-1470","microwave","OFF"
"8681","2014-08-24 14:28:06+00:00","1515","microwave","ON"
"8688","2014-08-24 14:28:48+00:00","-1492","microwave","OFF"
"8798","2014-08-24 14:39:48+00:00","208","washing_machine","ON"
"8826","2014-08-24 14:42:36+00:00","109","dishwasher","ON"
"8827","2014-08-24 14:42:42+00:00","-128","dishwasher","OFF"
"8862","2014-08-24 14:46:12+00:00","-93","fridge","OFF"
"8873","2014-08-24 14:47:18+00:00","-200","washing_machine","OFF"
"8881","2014-08-24 14:48:06+00:00","-116","dishwasher","OFF"
"8895","2014-08-24 14:49:30+00:00","-106","dishwasher","OFF"
"8897","2014-08-24 14:49:42+00:00","91","fridge","ON"
"8958","2014-08-24 14:55:48+00:00","-106","dishwasher","OFF"
"8961","2014-08-24 14:56:06+00:00","150","dishwasher","ON"
"8966","2014-08-24 14:56:36+00:00","-267","washing_machine","OFF"
"8968","2014-08-24 14:56:48+00:00","191","washing_machine","ON"
"8972","2014-08-24 14:57:12+00:00","-266","washing_machine","OFF"
"8974","2014-08-24 14:57:24+00:00","257","washing_machine","ON"
"8977","2014-08-24 14:57:42+00:00","153","dishwasher","ON"
"8978","2014-08-24 14:57:48+00:00","-281","washing_machine","OFF"
"8980","2014-08-24 14:58:00+00:00","155","dishwasher","ON"
"8983","2014-08-24 14:58:18+00:00","101","fridge","ON"
"8984","2014-08-24 14:58:24+00:00","-314","washing_machine","OFF"
"8986","2014-08-24 14:58:36+00:00","92","fridge","ON"
"8989","2014-08-24 14:58:54+00:00","126","dishwasher","ON"
"8990","2014-08-24 14:59:00+00:00","-256","washing_machine","OFF"
"8993","2014-08-24 14:59:18+00:00","156","dishwasher","ON"
"8996","2014-08-24 14:59:36+00:00","125","dishwasher","ON"
"8997","2014-08-24 14:59:42+00:00","-104","fridge","OFF"
"8998","2014-08-24 14:59:48+00:00","-204","washing_machine","OFF"
"9000","2014-08-24 15:00:00+00:00","146","dishwasher","ON"
"9004","2014-08-24 15:00:24+00:00","-221","washing_machine","OFF"
"9006","2014-08-24 15:00:36+00:00","225","washing_machine","ON"
"9010","2014-08-24 15:01:00+00:00","-254","washing_machine","OFF"
"9012","2014-08-24 15:01:12+00:00","288","washing_machine","ON"
"9013","2014-08-24 15:01:18+00:00","-93","fridge","OFF"
"9015","2014-08-24 15:01:30+00:00","99","fridge","ON"
"9016","2014-08-24 15:01:36+00:00","-287","washing_machine","OFF"
"9018","2014-08-24 15:01:48+00:00","111","dishwasher","ON"
"9019","2014-08-24 15:01:54+00:00","166","dishwasher","ON"
"9021","2014-08-24 15:02:06+00:00","125","dishwasher","ON"
"9022","2014-08-24 15:02:12+00:00","-329","washing_machine","OFF"
"9024","2014-08-24 15:02:24+00:00","99","fridge","ON"
"9026","2014-08-24 15:02:36+00:00","146","dishwasher","ON"
"9029","2014-08-24 15:02:54+00:00","-201","washing_machine","OFF"
"9030","2014-08-24 15:03:00+00:00","197","washing_machine","ON"
"9032","2014-08-24 15:03:12+00:00","-199","washing_machine","OFF"
"9033","2014-08-24 15:03:18+00:00","264","washing_machine","ON"
"9035","2014-08-24 15:03:30+00:00","-201","washing_machine","OFF"
"9036","2014-08-24 15:03:36+00:00","171","dishwasher","ON"
"9038","2014-08-24 15:03:48+00:00","-228","washing_machine","OFF"
"9040","2014-08-24 15:04:00+00:00","-196","washing_machine","OFF"
"9042","2014-08-24 15:04:12+00:00","-232","washing_machine","OFF"
"9043","2014-08-24 15:04:18+00:00","276","washing_machine","ON"
"9045","2014-08-24 15:04:30+00:00","-202","washing_machine","OFF"
"9046","2014-08-24 15:04:36+00:00","139","dishwasher","ON"
"9048","2014-08-24 15:04:48+00:00","-165","dishwasher","OFF"
"9050","2014-08-24 15:05:00+00:00","229","washing_machine","ON"
"9052","2014-08-24 15:05:12+00:00","-248","washing_machine","OFF"
"9054","2014-08-24 15:05:24+00:00","230","washing_machine","ON"
"9056","2014-08-24 15:05:36+00:00","-187","washing_machine","OFF"
"9057","2014-08-24 15:05:42+00:00","189","washing_machine","ON"
"9059","2014-08-24 15:05:54+00:00","-190","washing_machine","OFF"
"9060","2014-08-24 15:06:00+00:00","157","dishwasher","ON"
"9063","2014-08-24 15:06:18+00:00","332","washing_machine","ON"
"9064","2014-08-24 15:06:24+00:00","-238","washing_machine","OFF"
"9066","2014-08-24 15:06:36+00:00","-178","dishwasher","OFF"
"9067","2014-08-24 15:06:42+00:00","252","washing_machine","ON"
"9069","2014-08-24 15:06:54+00:00","-251","washing_machine","OFF"
"9070","2014-08-24 15:07:00+00:00","134","dishwasher","ON"
"9071","2014-08-24 15:07:06+00:00","105","dishwasher","ON"
"9072","2014-08-24 15:07:12+00:00","-225","washing_machine","OFF"
"9073","2014-08-24 15:07:18+00:00","356","washing_machine","ON"
"9074","2014-08-24 15:07:24+00:00","-170","dishwasher","OFF"
"9076","2014-08-24 15:07:36+00:00","-234","washing_machine","OFF"
"9077","2014-08-24 15:07:42+00:00","225","washing_machine","ON"
"9079","2014-08-24 15:07:54+00:00","-188","washing_machine","OFF"
"9080","2014-08-24 15:08:00+00:00","228","washing_machine","ON"
"9082","2014-08-24 15:08:12+00:00","-177","dishwasher","OFF"
"9084","2014-08-24 15:08:24+00:00","131","dishwasher","ON"
"9087","2014-08-24 15:08:42+00:00","252","washing_machine","ON"
"9088","2014-08-24 15:08:48+00:00","-397","washing_machine","OFF"
"9096","2014-08-24 15:09:36+00:00","138","dishwasher","ON"
"9097","2014-08-24 15:09:42+00:00","-180","dishwasher","OFF"
"9101","2014-08-24 15:10:06+00:00","215","washing_machine","ON"
"9102","2014-08-24 15:10:12+00:00","-223","washing_machine","OFF"
"9103","2014-08-24 15:10:18+00:00","96","fridge","ON"
"9104","2014-08-24 15:10:24+00:00","-91","fridge","OFF"
"9107","2014-08-24 15:10:42+00:00","222","washing_machine","ON"
"9108","2014-08-24 15:10:48+00:00","-168","dishwasher","OFF"
"9130","2014-08-24 15:13:00+00:00","201","washing_machine","ON"
"9132","2014-08-24 15:13:12+00:00","-207","washing_machine","OFF"
"9137","2014-08-24 15:13:42+00:00","-123","dishwasher","OFF"
"9156","2014-08-24 15:15:36+00:00","168","dishwasher","ON"
"9157","2014-08-24 15:15:42+00:00","-130","dishwasher","OFF"
"9163","2014-08-24 15:16:18+00:00","134","dishwasher","ON"
"9164","2014-08-24 15:16:24+00:00","-142","dishwasher","OFF"
"9169","2014-08-24 15:16:54+00:00","189","washing_machine","ON"
"9170","2014-08-24 15:17:00+00:00","-197","washing_machine","OFF"
"9172","2014-08-24 15:17:12+00:00","128","dishwasher","ON"
"9174","2014-08-24 15:17:24+00:00","-180","dishwasher","OFF"
"9176","2014-08-24 15:17:36+00:00","160","dishwasher","ON"
"9178","2014-08-24 15:17:48+00:00","-105","dishwasher","OFF"
"9180","2014-08-24 15:18:00+00:00","161","dishwasher","ON"
"9181","2014-08-24 15:18:06+00:00","-107","dishwasher","OFF"
"9182","2014-08-24 15:18:12+00:00","278","washing_machine","ON"
"9183","2014-08-24 15:18:18+00:00","-238","washing_machine","OFF"
"9185","2014-08-24 15:18:30+00:00","-158","dishwasher","OFF"
"9186","2014-08-24 15:18:36+00:00","147","dishwasher","ON"
"9188","2014-08-24 15:18:48+00:00","-134","dishwasher","OFF"
"9189","2014-08-24 15:18:54+00:00","134","dishwasher","ON"
"9191","2014-08-24 15:19:06+00:00","-143","dishwasher","OFF"
"9204","2014-08-24 15:20:24+00:00","103","fridge","ON"
"9206","2014-08-24 15:20:36+00:00","-109","dishwasher","OFF"
"9214","2014-08-24 15:21:24+00:00","339","washing_machine","ON"
"9217","2014-08-24 15:21:42+00:00","-339","washing_machine","OFF"
"9218","2014-08-24 15:21:48+00:00","330","washing_machine","ON"
"9220","2014-08-24 15:22:00+00:00","-291","washing_machine","OFF"
"9221","2014-08-24 15:22:06+00:00","352","washing_machine","ON"
"9223","2014-08-24 15:22:18+00:00","-357","washing_machine","OFF"
"9224","2014-08-24 15:22:24+00:00","359","washing_machine","ON"
"9230","2014-08-24 15:23:00+00:00","-326","washing_machine","OFF"
"9231","2014-08-24 15:23:06+00:00","387","washing_machine","ON"
"9234","2014-08-24 15:23:24+00:00","-307","washing_machine","OFF"
"9252","2014-08-24 15:25:12+00:00","-135","dishwasher","OFF"
"9261","2014-08-24 15:26:06+00:00","-301","washing_machine","OFF"
"9281","2014-08-24 15:28:06+00:00","170","dishwasher","ON"
"9282","2014-08-24 15:28:12+00:00","-165","dishwasher","OFF"
"9287","2014-08-24 15:28:42+00:00","144","dishwasher","ON"
"9288","2014-08-24 15:28:48+00:00","-92","fridge","OFF"
"9289","2014-08-24 15:28:54+00:00","187","washing_machine","ON"
"9290","2014-08-24 15:29:00+00:00","-117","dishwasher","OFF"
"9291","2014-08-24 15:29:06+00:00","292","washing_machine","ON"
"9292","2014-08-24 15:29:12+00:00","-208","washing_machine","OFF"
"9295","2014-08-24 15:29:30+00:00","-224","washing_machine","OFF"
"9296","2014-08-24 15:29:36+00:00","297","washing_machine","ON"
"9298","2014-08-24 15:29:48+00:00","-187","washing_machine","OFF"
"9299","2014-08-24 15:29:54+00:00","135","dishwasher","ON"
"9301","2014-08-24 15:30:06+00:00","-212","washing_machine","OFF"
"9302","2014-08-24 15:30:12+00:00","382","washing_machine","ON"
"9303","2014-08-24 15:30:18+00:00","-215","washing_machine","OFF"
"9305","2014-08-24 15:30:30+00:00","-221","washing_machine","OFF"
"9306","2014-08-24 15:30:36+00:00","191","washing_machine","ON"
"9308","2014-08-24 15:30:48+00:00","-221","washing_machine","OFF"
"9309","2014-08-24 15:30:54+00:00","143","dishwasher","ON"
"9310","2014-08-24 15:31:00+00:00","101","fridge","ON"
"9311","2014-08-24 15:31:06+00:00","-221","washing_machine","OFF"
"9312","2014-08-24 15:31:12+00:00","231","washing_machine","ON"
"9315","2014-08-24 15:31:30+00:00","-227","washing_machine","OFF"
"9316","2014-08-24 15:31:36+00:00","206","washing_machine","ON"
"9325","2014-08-24 15:32:30+00:00","113","dishwasher","ON"
"9326","2014-08-24 15:32:36+00:00","-116","dishwasher","OFF"
"9332","2014-08-24 15:33:12+00:00","103","fridge","ON"
"9336","2014-08-24 15:33:36+00:00","145","dishwasher","ON"
"9337","2014-08-24 15:33:42+00:00","-155","dishwasher","OFF"
"9338","2014-08-24 15:33:48+00:00","156","dishwasher","ON"
"9340","2014-08-24 15:34:00+00:00","-94","fridge","OFF"
"9361","2014-08-24 15:36:06+00:00","183","washing_machine","ON"
"9363","2014-08-24 15:36:18+00:00","-224","washing_machine","OFF"
"9575","2014-08-24 15:57:30+00:00","-174","dishwasher","OFF"
"9624","2014-08-24 16:02:24+00:00","142","dishwasher","ON"
"9625","2014-08-24 16:02:30+00:00","-92","fridge","OFF"
"9646","2014-08-24 16:04:36+00:00","1020","microwave","ON"
"9662","2014-08-24 16:06:12+00:00","181","washing_machine","ON"
"9663","2014-08-24 16:06:18+00:00","-209","washing_machine","OFF"
"9664","2014-08-24 16:06:24+00:00","217","washing_machine","ON"
"9665","2014-08-24 16:06:30+00:00","-238","washing_machine","OFF"
"9686","2014-08-24 16:08:36+00:00","-944","microwave","OFF"
"9695","2014-08-24 16:09:30+00:00","238","washing_machine","ON"
"9696","2014-08-24 16:09:36+00:00","-294","washing_machine","OFF"
"9697","2014-08-24 16:09:42+00:00","110","dishwasher","ON"
"9706","2014-08-24 16:10:36+00:00","101","fridge","ON"
"9708","2014-08-24 16:10:48+00:00","290","washing_machine","ON"
"9710","2014-08-24 16:11:00+00:00","-120","dishwasher","OFF"
"9752","2014-08-24 16:15:12+00:00","-227","washing_machine","OFF"
"9964","2014-08-24 16:36:24+00:00","1509","microwave","ON"
"9989","2014-08-24 16:38:54+00:00","260","washing_machine","ON"
"10018","2014-08-24 16:41:48+00:00","235","washing_machine","ON"
"10019","2014-08-24 16:41:54+00:00","-255","washing_machine","OFF"
"10032","2014-08-24 16:43:12+00:00","-1513","microwave","OFF"
"10046","2014-08-24 16:44:36+00:00","114","dishwasher","ON"
"10088","2014-08-24 16:48:48+00:00","192","washing_machine","ON"
"10089","2014-08-24 16:48:54+00:00","339","washing_machine","ON"
"10090","2014-08-24 16:49:00+00:00","-360","washing_machine","OFF"
"10114","2014-08-24 16:51:24+00:00","-214","washing_machine","OFF"
"10149","2014-08-24 16:54:54+00:00","1573","microwave","ON"
"10179","2014-08-24 16:57:54+00:00","1795","microwave","ON"
"10181","2014-08-24 16:58:06+00:00","119","dishwasher","ON"
"10182","2014-08-24 16:58:12+00:00","-1808","microwave","OFF"
"10186","2014-08-24 16:58:36+00:00","1670","microwave","ON"
"10189","2014-08-24 16:58:54+00:00","-1701","microwave","OFF"
